,acc.date,type,reg,operator,fat,location,dmg
532,2020-05-05,Learjet 35A,LV-BXU,MD Fly,3.0,"near Esquel Airport, CB (EQS)",w/o
533,2020-05-07,Hawker Siddeley HS-125,XB-RBF,private,0.0,southern Zulia state,w/o
534,2020-05-08,Beechcraft 1900C,N31704,Ameriflight,0.0,"San Antonio International Airport, TX (SAT)",sub
535,2020-05-09,Ilyushin Il-78,no reg.,Libyan Air Force,0.0,Tripoli-Mitiga International Airport (MJI),w/o
536,2020-05-09,Learjet 60XR,5A-UAE,United Aviation,0.0,Tripoli-Mitiga International Airport (MJI),w/o
537,2020-05-16,Let L-410MA,RA-67066,Unknown,0.0,Ulang Airstrip,sub
538,2020-05-19,Cessna 501 Citation I/SP,N501KM,McWilliams LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",sub
539,2020-05-19,Boeing 737-8Q8 (WL),N820TJ,Swift Air,0.0,"W of Victorville-Southern California Logistics Airport, CA (VCV)",sub
540,2020-05-21,Beechcraft 400A Beechjet,VT-RPG,Sanjiv Goenka Group,0.0,Kolkata-Netaji Subhas Chandra Bose International Airport (CCU),sub
541,2020-05-21,Embraer C-95BM Bandeirante (EMB-110),FAB2347,Força Aérea Brasileira - FAB,0.0,"Natal Air Force Base, RN (SBNT)",sub
542,2020-05-22,Airbus A320-214,AP-BLD,Pakistan International Airlines - PIA,98.0,"1,4 km E of Karachi-Jinnah International Airport (KHI)",w/o
543,2020-05-26,Beechcraft 200 Super King Air,,private,0.0,"near Morocoy, Quintana Roo",w/o
544,2020-05-28,British Aerospace BAe-125-700A,N720PT,private,0.0,near Sarteneja,sub
545,2020-05-30,Antonov An-2,,Taraz Zhana Alem,0.0,Urzhar Airport (UZR),sub
546,2020-05-30,de Havilland Canada DHC-6 Twin Otter 100,N52FW,"Kapowsin Air Sports, opf Skydive San Diego",0.0,"San Diego-Brown Field Municipal Airport, CA (SDM)",sub
547,2020-05-30,Beechcraft 200 Super King Air,,private,0.0,Región Costa Montaña ?,w/o
548,2020-06-08,Dornier 228-212,PH-CGN,Netherlands Coast Guard (Kustwacht),0.0,Eindhoven Airport (EIN/EHEH),min
549,2020-06-08,Lockheed C-130H3 Hercules,94-6706,United States Air Force - USAF,0.0,Al Taji Army Air Field (ORTI),sub
550,2020-06-09,Beechcraft 1900D,C-GSLX,Sunwest Aviation,0.0,"near Lac la Biche (CYLB), AB",sub
551,2020-06-13,Beechcraft 300 Super King Air 350,N858UP,Gama Aviation Signature,0.0,"Bedford-Hanscom Field, MA (BED)",sub
552,2020-06-14,Airbus A320-271N,VT-IJT,IndiGo Airlines,0.0,near Cochin Airport,non
553,2020-06-14,Airbus A320-232,VP-BDL,Ural Airlines,0.0,Saint Petersburg-Pulkovo Airport (LED),sub
554,2020-06-14,Airbus A320-271N,VP-BWC,S7 Airlines,0.0,Saint Petersburg-Pulkovo Airport (LED),min
555,2020-06-15,Grumman G-1159 Gulfstream II,N27SL,private,1.0,"Machiques de Perijá, Zulia",w/o
556,2020-06-16,Embraer ERJ-145EP,G-SAJS,Loganair,0.0,Aberdeen International Airport (ABZ/EGPD),min
557,2020-06-16,de Havilland Canada DHC-8-402Q Dash 8,G-JECK,Nordic Aviation Capital,0.0,Aberdeen International Airport (ABZ/EGPD),sub
558,2020-06-19,Gulfstream Aerospace G-1159A Gulfstream III,N516TR,private,0.0,"El Chico, Retalhuleu",w/o
559,2020-06-28,Cessna 560XL Citation XLS,VT-JSS,Jindal Steel & Power Ltd.,0.0,Vijayanagar Aerodrome (VDY),sub
560,2020-07-02,Grumman G-1159 Gulfstream II SP,XB-NRX,Private,0.0,Mapastepec,w/o
561,2020-07-05,Boeing 737-7H4,N254WN,Southwest Airlines,0.0,"Orlando, Florida",non
562,2020-07-05,British Aerospace BAe-125-700A,XB-RCM,private,0.0,"10 km from José Maria Morelos, Quintana Roo",w/o
563,2020-07-07,Airbus A319-111,HB-JOH,Chair Airlines,0.0,Napoli-Capodichino Airport (NAP),w/o
564,2020-07-07,Hawker 800XP,N339AV,private,0.0,within Venezuela,w/o
565,2020-07-09,Embraer ERJ-175LR,N226NN,"Envoy Air, opf American Eagle",0.0,"Plainfield, Illinois",non
566,2020-07-09,Airbus A319-132,PT-TMO,LATAM Airlines Brasil,0.0,"near Guarulhos, SP",non
567,2020-07-10,Learjet 45,XA-CAO,Aeroparadise SA,0.0,Toluca-Licenciado Adolfo López Mateos International Airport (TLC),sub
568,2020-07-13,Britten-Norman BN-2A-27 Islander,N200MU,Tropic Air Charters,0.0,"Fort Lauderdale-Executive Airport, FL (FXE)",sub
569,2020-07-13,Antonov An-2R,RA-40851,Zeus-Avia,2.0,"0,4 km SE of Kistenevo, Bolsheboldinsky district, Nizhny Novgorod region",w/o
570,2020-07-14,Boeing 737-8S3 (WL),ZS-SJB,Mango,0.0,N of Durban,non
571,2020-07-14,de Havilland Canada DHC-8-402Q (PF) Dash 8,5Y-VVU,Blue Bird Aviation,0.0,Beledweyne-Ugas Khalif Airport (HCMN),w/o
572,2020-07-15,Beechcraft B300 King Air 350i,EM-809,Turkish Police,7.0,30 km SW of Van-Ferit Melen Airport (VAN),w/o
573,2020-07-17,Beechcraft 200 Super King Air,C-FSKQ,Skyjet Aviation,0.0,"Rouyn Airport, QC (YUY)",sub
574,2020-07-19,Antonov An-2R,RA-71276,Phoenix,6.0,"30 km W of Tagarkhay, Buryatia region",w/o
575,2020-07-20,Beechcraft B200 Super King Air,N740P,private,0.0,35 km SW of Brus Laguna,sub
576,2020-07-22,Beechcraft 400A Beechjet,N425BJ,N425BJ LLC,0.0,"Montgomery Regional Airport, AL (MGM)",sub
577,2020-07-22,Boeing 777-F60,ET-ARH,Ethiopian Airlines,0.0,Shanghai Pudong International Airport (PVG),w/o
578,2020-07-23,Airbus A310-304,EP-MNF,Mahan Air,0.0,Syrian airspace,non
579,2020-07-25,Cessna 208B Grand Caravan,XA-FTG,AX Transporter,0.0,Holbox Airstrip,sub
580,2020-07-26,Gulfstream Aerospace G-1159A Gulfstream III,N450BD,private,0.0,"near El Chal, Petén Department",w/o
581,2020-07-28,Boeing 737-3Z0 (SF),PK-YSZ,Trigana Air Service,0.0,Wamena Airport (WMX/WAJW),min
582,2020-07-30,Beechcraft 200 Super King Air,N515BA,private,0.0,"Rio Negro, Zulia",w/o
583,2020-08-01,Airbus A321-211 (WL),VP-BAX,Aeroflot Russian International Airlines,0.0,Moskva-Sheremetyevo Airport (SVO),sub
584,2020-08-03,Antonov An-74TK-100,RA-74044,"UTair-Cargo, opf United Nations - UN",0.0,Gao Airport (GAQ),w/o
585,2020-08-04,Harbin Y-12-II,KAF128,Kenya Air Force - KAF,0.0,Dhobley Airstrip,sub
586,2020-08-07,Boeing 737-8HG (WL),VT-AXH,Air India Express,21.0,Kozhikode-Calicut Airport (CCJ),w/o
587,2020-08-08,British Aerospace BAe-125,,private,0.0,Ixcán,w/o
588,2020-08-08,Canadair CL-215-1A10,EC-HET,"Aut, Nacional de Emergência e Proteção Civil, opb Babcock",1.0,Lobios,w/o
589,2020-08-09,British Aerospace BAe-125-800A,XB-RAY,private,0.0,near Maracaibo-La Chinita International Airport (MAR),w/o
590,2020-08-10,Rockwell Sabreliner 75A,N400RS,private,2.0,W off Paraguaná,w/o
591,2020-08-12,Airbus A320-214,EC-IEF,Iberia,0.0,near Barcelona Airport (LEBL),non
592,2020-08-12,Beechcraft B200 King Air,N316JP,private,0.0,"Santa Ana, Bartolomé de Las Casas, Zulia",w/o
593,2020-08-13,Let L-410UVP-E3,9S-GEN,Doren Air Congo,4.0,28 km from Bukavu-Kavumu Airport (BKY),w/o
594,2020-08-16,Cessna 208B Grand Caravan,5Y-SAV,City Link,0.0,New Fangak Airstrip,w/o
595,2020-08-18,ATR 72-600 (72-212A),6V-ASN,Air Senegal,0.0,Ziguinchor Airport (ZIG),sub
596,2020-08-19,Boeing 767-3S2FER,N146FE,FedEx,0.0,"Los Angeles International Airport, CA (LAX)",sub
597,2020-08-20,Beechcraft 200 Super King Air,N198DM,Bomac Air,1.0,"Chicago/Rockford International Airport, IL (RFD/KRFD)",w/o
598,2020-08-22,Antonov An-26B,EX-126,"South West Aviation, lsf Skyway Air",9.0,ca 4 km NW of Juba Airport (JUB),w/o
599,2020-08-27,Boeing 747SP-21,VQ-BMS,Las Vegas Sands Corporation,0.0,"Lake Charles-Chennault International Airport, LA (CWF)",sub
600,2020-08-28,Boeing 767-324ER,N423AX,Omni Air International,0.0,Bucharest Baneasa Aurel Vlaicu International Airport (BBU),sub
601,2020-08-29,Boeing 737-81D (WL),JA73NM,Skymark Airlines,0.0,15 km ENE of Tokyo-Haneda International Airport (HND),sub
602,2020-08-29,Dassault Falcon 200,XB-OAP,private,0.0,Palenque Airport (PQM),sub
603,2020-09-04,Fairchild SA227-AC Metro III,N362AE,Ameriflight,0.0,"San Antonio International Airport, TX (SAT)",sub
604,2020-09-07,Cessna 208B Grand Caravan,N186GC,Grand Canyon Airlines,0.0,"Whitmore-Grand Canyon Bar Ten Airstrip, AZ (GCT)",sub
605,2020-09-07,Gulfstream G200 Galaxy,PR-AUR,W.R.V. Empreendimentos e Participacoes Ltda.,0.0,"Belo Horizonte/Pampulha - Carlos Drummond de Andrade Airport, MG (PLU)",sub
606,2020-09-11,Cessna 208B Grand Caravan,5Y-CDH,Unknown,0.0,Maji Moto area in Narok South,w/o
607,2020-09-15,Beechcraft 200 King Air,,private,0.0,Machiques de Perija,w/o
608,2020-09-16,Cessna 560 Citation Encore,N254DR,Connair Consulting LLC,0.0,"Jackson-McKellar-Sipes Regional Airport, TN (MKL)",sub
609,2020-09-18,Learjet,,private,0.0,Zanja,w/o
610,2020-09-19,Fokker 50,5Y-MHT,"Silverstone Air Services, opf Saacid Airlines",0.0,Mogadishu Aden Adde International Airport (MGQ),w/o
611,2020-09-21,Learjet 35,false reg.,private,0.0,Santha Martha,w/o
612,2020-09-22,Cessna 208B Grand Caravan,HK-4669-G,private,0.0,near Guaymaral Airport,sub
613,2020-09-23,British Aerospace BAe-125-800A,XB-PYZ,private,4.0,"Alta Verapaz, Santa Marta Salina",w/o
615,2020-09-25,Antonov An-26Sh,76 yellow,Ukraine Air Force,26.0,"1,1 km N of Chuhuiv Air Base",w/o
616,2020-09-27,Canadair CL-600-1A11 Challenger 600,N100QR,private,0.0,"Sur del Lago region, Zulia",w/o
617,2020-09-28,Antonov An-2,,Unknown,0.0,near Martuni,w/o
618,2020-09-29,Lockheed KC-130J Hercules,166765,United States Marine Corps,0.0,"near Salton City, CA",sub
619,2020-09-30,Boeing 777-232ER,N860DA,Delta Air Lines,0.0,"Anchorage, Alaska",non
620,2020-10-04,Gulfstream American G-1159A Gulfstream III,N305LR,private,0.0,"Machiques, Zulia",w/o
621,2020-10-05,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMF,Trans Maldivian Airways,0.0,Malé-Velana International Airport (MLE),sub
622,2020-10-05,British Aerospace BAe-125,,private,0.0,"Sergio Butrón Casas, Quintana Roo",w/o
623,2020-10-05,Hawker 850XP,HS-WTH,Ratchthani Leasing Public Company Limited,0.0,Pattani Airport (PAN/VTSK),sub
624,2020-10-06,Boeing 737-4B6 (SF),HK-5228,AerCaribe Cargo,0.0,San José-Juan Santamaria International Airport (SJO/MROC),w/o
625,2020-10-10,Douglas C-54E (DC-4),N96358,Alaska Air Fuel,0.0,"Yakataga Airport, AK",sub
626,2020-10-10,Cessna 208B Grand Caravan,5H-NWA,Duk Air Travel,0.0,Mundri Airstrip,sub
627,2020-10-14,Airbus A320-200,,,0.0,over Germany,non
628,2020-10-14,Beechcraft 99A Airliner,N499CZ,Freight Runners Express,0.0,"Waterville-Robert Lafleur Airport, ME (WVL)",sub
629,2020-10-14,Antonov An-32A,OB-2120-P,AerCaribe Peru,0.0,Iquitos-Coronel Francisco Secada Vignetta International Airport (IQT),w/o
630,2020-10-16,Britten-Norman BN-2A-27 Islander,V6-01FM,Caroline Islands Air,0.0,"Mwoakilloa Airfield, Caroline Islands",sub
631,2020-10-21,Learjet 60,N1128M,Worldwide Jet Charter Inc,0.0,"Chicago-Executive Airport, IL (PWK)",sub
632,2020-10-22,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMR,Trans Maldivian Airways,0.0,Medhafushi Water Aerodrome,sub
633,2020-10-23,Bombardier DHC-8-402Q Dash 8,JA845A,Oriental Air Bridge,0.0,Fukue Airport (FUJ),sub
634,2020-10-24,Embraer ERJ-145LR,N674RJ,"American Eagle, opb Envoy Air",0.0,Freeport-Grand Bahama International Airport (FPO),sub
635,2020-10-29,Gulfstream American G-1159A Gulfstream III,N461AR ?,private,3.0,Laguna del Tigre,w/o
636,2020-10-29,Britten-Norman BN-2A-26 Islander,N706MC,St. Bernard Parish Government,0.0,"New Orleans-Lakefront Airport, LA (NEW)",sub
637,2020-10-30,Antonov An-2,PT-ZNQ,private,0.0,"Brasília-Piquet Airport, DF (SSGP)",sub
638,2020-10-30,Embraer EMB-500 Phenom 100,PR-LMP,TRACBEL,0.0,"Igaratinga-São Pedro Airport, MG (SSDK)",w/o
639,2020-10-31,Cessna AC-208B Combat Caravan,YI-118,Al Quwwat al Jawwiya al Iraqiya (Iraqi Air Force),2.0,near Balad,w/o
640,2020-11-01,Raytheon Beechjet 400A,N456FL,Georgia Jet,0.0,"Fernandina Beach Municipal Airport, FL (KFHB)",sub
641,2020-11-05,Fairchild SA227-AC Metro III,LV-VDJ,Dos Mil Aerosistema,0.0,"Mendoza-El Plumerillo Airport, MD (MDZ)",sub
642,2020-11-09,Rockwell Sabreliner 65,XA-VD.,private,1.0,"El Chico, Champerico, Retalhuleu",w/o
643,2020-11-11,British Aerospace BAe-125-800B,,private,0.0,Parque Nacional Laguna del Tigre,w/o
644,2020-11-12,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,0.0,Iquitos International Airport (IQT),sub
645,2020-11-13,Bombardier CRJ-701ER,N778SK,"SkyWest Airlines, opf American Eagle",0.0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",non
646,2020-11-13,Antonov An-124-100,RA-82042,Volga-Dnepr Airlines,0.0,Novosibirsk-Tolmachevo Airport (OVB),sub
647,2020-11-15,Grumman G-1159 Gulfstream II SP,N104VV,private,0.0,"Caño Amarillo, Catatumbo",w/o
648,2020-11-16,ATR 72-500 (72-212A),VT-TMM,TruJet,0.0,Mysore Airport (MYQ),sub
649,2020-11-23,Beechcraft 200 King Air,HB-GJM,Air-Glaciers,0.0,Sion Airport (SIR),sub
650,2020-11-23,de Havilland Canada DHC-8-314 Dash 8,C-FEXZ,Voyageur Airways,0.0,"North Bay Airport, ON (YYB)",sub
651,2020-11-23,de Havilland Canada DHC-7-110,VP-FBQ,British Antarctic Survey,0.0,"North Bay Airport, ON (YYB)",sub
652,2020-11-26,ATR 42-300,C-FAFS,Calm Air International,0.0,"Naujaat Airport, NU (YUT)",sub
653,2020-11-28,Embraer EMB-110P1 Bandeirante,CU-T1541,Cubana de Aviación,0.0,Havana-José Martí International Airport (HAV),sub
654,2020-11-30,Cessna 208B Grand Caravan,C6-AWO,Royal Bahamas Defence Force,0.0,George Town-Exuma International Airport (GGT),sub
655,2020-12-01,de Havilland Canada DHC-6 Vista Liner 300,P2-ASM,Air Sanga,0.0,Wobagen Airstrip,sub
656,2020-12-02,Cessna 551 Citation II/SP,N48DK,Aviation Star S II LLC,0.0,"Lufkin Angelina County Airport, TX (LFK)",sub
657,2020-12-02,Boeing 737-529,EY-560,Air Djibouti,0.0,Garowe Airport (GGR),sub
659,2020-12-05,Beechcraft A100 King Air,C-FWYO,Airco Aircraft Charters,0.0,"Edmonton International Airport, AB (YEG)",sub
660,2020-12-09,Shijiazhuang Y-5B,B-8242,Xinjiang General Aviation,0.0,Urumqi-Yaxin General Airport,w/o
661,2020-12-09,Antonov An-2R,UR-33642,private,1.0,"near Zolota Sloboda, Kozova Raion, Ternopil Oblast",w/o
662,2020-12-10,Gulfstream Aerospace G-1159A Gulfstream III,(N370JL),private,0.0,southern Belize,w/o
663,2020-12-13,Eclipse 500,N686TM,private,0.0,"Leadville Airport, CO (LXV)",sub
664,2020-12-16,Embraer EMB-500 Phenom 100,N661EP,Executive Aviation Investors Inc,0.0,"Jacksonville Executive at Craig Airport, FL (CRG)",sub
665,2020-12-19,British Aerospace BAe-125-700A,(N326TD),private,1.0,Parque Nacional Sierra de Lacandon,w/o
666,2020-12-20,Raytheon Hawker 800XP,N412JA,Talon Air,0.0,"Farmingdale-Republic Airport, NY (FRG)",sub
667,2020-12-22,Cessna 525 Citation M2,PR-HFT,La Barca Empreendimentos Ltda,0.0,"Uberlândia, MG (SBUL)",sub
668,2020-12-23,Airbus A320-232,N463UA,United Airlines,0.0,"Houston, Texas",non
669,2020-12-30,Cessna 208B Supervan 900,PZ-TSK,Blue Wing Airlines,0.0,Kawemhaken-Lawa Anapaike Airstrip,sub
670,2019-01-07,Saab 340B,YL-RAF,RAF-AVIA,0.0,Savonlinna Airport (SVL),sub
671,2019-01-12,Boeing 737-524 (WL),VQ-BJP,UTair Aviation,0.0,Moskva-Vnukovo Airport (VKO),sub
672,2019-01-12,Canadair CL-600-2A12 Challenger 601,N813WT,TW 601-C Investment LLC,0.0,"Uvalde-Ox Ranch Airport ,TX",sub
673,2019-01-14,Boeing 707-3J9C,EP-CPP,"Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF",15.0,Fat'h Airport,w/o
674,2019-01-16,Cessna 208B Grand Caravan,8R-YAC,Air Services Limited - ASL,0.0,Georgetown-Ogle International Airport (OGL),sub
675,2019-01-18,Boeing 777-212ER,9V-SQL,Singapore Airlines,0.0,en route Melbourne-Wellington,non
676,2019-01-21,Aero Modifications AMI DC-3-65TP,N467KS,Priority Air Charter,2.0,"SE of Kidron-Stoltzfus Airfield, OH",sub
677,2019-01-22,Boeing 737-8LJ (WL),VP-BRR,Aeroflot Russian International Airlines,0.0,Khanty-Mansiysk International Airport (HMA),non
678,2019-01-23,de Havilland Canada DHC-8-102 Dash 8,C-GTCO,Air Creebec,0.0,"Rouyn Airport, QC (YUY)",sub
679,2019-01-26,Airbus A321-231,TC-OEB,Onur Air,0.0,Antalya Airport (AYT/LTAI),sub
680,2019-01-28,Airbus A320-214 (WL),N220FR,Frontier Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
681,2019-01-28,Boeing 727-2B6 Adv. (F),N720CK,Kalitta Charters,0.0,"Tuscaloosa Regional Airport, AL (TCL)",sub
682,2019-01-28,ATR 72-500 (72-212A),EC-LYJ,"Air Europa, opb Swiftair",0.0,Palma de Mallorca Airport (PMI),sub
683,2019-01-29,Beechcraft B200 King Air,N13LY,Guardian Flight,3.0,"32 km W off Kake, AK",w/o
684,2019-01-30,Beechcraft 200 Super King Air,C-GTUC,Air Tindi,2.0,"39 km ESE of Whatì/Lac La Martre Airport, NT (YLE)",w/o
685,2019-02-03,Boeing 787-8 Dreamliner,N26909,United Airlines,0.0,"Pacific Ocean, Pacific Ocean",non
686,2019-02-04,Boeing 737-332,ST-TAL,"Tarco Air, opf Sudan Airways",0.0,Khartoum-Civil Airport,non
687,2019-02-05,Boeing 737-823 (WL),N852NN,American Airlines,0.0,Bluefields,non
688,2019-02-08,Airbus A321-251N,SE-RKA,Novair,0.0,Billund Airport (BLL),sub
689,2019-02-08,Convair C-131B Samaritan,N145GT,Conquest Air Cargo,1.0,"21 km E off Bay Harbor Islands, FL",w/o
690,2019-02-09,Cessna 208 Caravan I,PR-RTA,RICO Taxi Aéreo,0.0,"231 km SSW of Caracaraí, RR",sub
691,2019-02-09,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-FFF,Kenya Airways,0.0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
692,2019-02-09,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-KYR,Kenya Airways,0.0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
693,2019-02-11,Raytheon Beechjet 400A,N750TA,Stein's Aircraft Services,0.0,"Richmond Municipal Airport, IN (RID)",sub
694,2019-02-13,Embraer ERJ-175LR (ERJ-170-200 LR),N613CZ,"Delta Airlines, opb Compass Airlines",0.0,"near Reno-Tahoe International Airport (KRNO), Washoe County, NV",min
695,2019-02-13,de Havilland Canada DHC-6 Twin Otter 300,PJ-WII,Winair,0.0,Saint-Barthélémy-Rémy de Haenen Airport (SBH/TFFJ),non
696,2019-02-13,Boeing 787-9 Dreamliner,PH-BHA,KLM Royal Dutch Airlines,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
697,2019-02-13,Boeing 747-406M,PH-BFV,KLM Royal Dutch Airlines,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
698,2019-02-17,Boeing 737-832 (WL),N3730B,Delta Air Lines,0.0,"Franklin, Tennessee",non
699,2019-02-23,Boeing 767-375ER (BCF) (WL),N1217A,"Amazon Air, opb Atlas Air",3.0,"Trinity Bay, near Anahuac, TX",w/o
700,2019-02-24,Boeing 737-8E9 (WL),S2-AHV,Biman Bangladesh Airlines,1.0,Chittagong-Shah Amanat International Airport (CGP),min
701,2019-02-25,de Havilland Canada EO-5C (DHC-7-102),N89068,United States Army,0.0,Pyongtaek-Desiderio AAF (RKSG),sub
702,2019-02-26,Gulfstream G200 Galaxy,4K-AZ88,Silk Way Business Aviation,0.0,Moskva-Sheremetyevo Airport (SVO),sub
703,2019-02-27,Boeing 777-223ER,N771AN,American Airlines,0.0,"near Honolulu, Oahu, HI",non
704,2019-02-28,Embraer ERJ-195LR (ERJ-190-200 LR),G-FBEJ,Flybe,0.0,Exeter Airport (EXT/EGTE),non
705,2019-03-02,de Havilland Canada DHC-8-402Q Dash 8,G-JECN,Flybe,0.0,Southampton-Eastleigh Airport (SOU/EGHI),sub
706,2019-03-03,Bombardier BD-100 Challenger 350,N715CG,private,0.0,"Eufaula-Weedon Field, AL (EUF/KEUF)",w/o
707,2019-03-03,Airbus A320-214 (WL),PR-OCW,Avianca Brasil,0.0,"Rio de Janeiro/Galeão-Antonio Carlos Jobim International Airport, RJ",sub
708,2019-03-03,Honda HA-420 HondaJet,N105HJ,Banyan Jet Service,0.0,"Eufaula-Weedon Field, AL (EUF/KEUF)",w/o
709,2019-03-03,Beechcraft 1900D,7T-VIO,Tassili Airlines,0.0,Ouargla-Ain Beida Airport (OGX),sub
710,2019-03-04,Cessna 208B Grand Caravan,C-FAFV,Amik Aviation,0.0,"1,4 km S of Little Grand Rapids Airport, MB (ZGR)",sub
711,2019-03-04,Embraer EMB-145XR,N14171,"United Express, opb CommutAir",0.0,"Presque Isle International Airport, ME (PQI)",sub
712,2019-03-07,Learjet 35A,LV-BNR,Baires Fly,0.0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
713,2019-03-09,Gulfstream G-IV,N505GF,Waffle House Inc.,0.0,"Atlanta-DeKalb Peachtree Airport, GA (PDK)",sub
714,2019-03-09,Douglas DC-3,HK-2494,LASER Aéreo Colombia,14.0,"Finca La Bendición, San Martín",w/o
715,2019-03-10,Boeing 737-832 (WL),N3756,Delta Air Lines,0.0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
716,2019-03-10,Bombardier CRJ-900LR,N569NN,"PSA Airlines, opf American Eagle",0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub
717,2019-03-10,Bombardier CL-600-2C10 Regional Jet CRJ-702ER,N530EA,"PSA Airlines, opf American Eagle",0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub
718,2019-03-10,Hawker Siddeley HS-125-600A,fake reg.,private,1.0,"near San Pedro Peralta, Chetumal, Quintana Roo",w/o
719,2019-03-10,Boeing 737 MAX 8,ET-AVJ,Ethiopian Airlines,157.0,50 km ESE of Addis Ababa-Bole Airport (ADD),w/o
720,2019-03-11,de Havilland Canada CC-138 Twin Otter (DHC-6),13803,Royal Canadian Air Force - RCAF,0.0,"140 km N Inuvik, NT",sub
721,2019-03-12,Beechcraft A100 King Air,N945WS,Golden Wings Aviation Inc.,0.0,"Latrobe-Westmoreland County Airport, PA (LBE)",sub
722,2019-03-14,Cessna 650 Citation III,N220CM,RP Sales and Leasing Inc.,0.0,"Orlando Sanford International Airport, FL (SFB)",sub
723,2019-03-18,IAI 1124 Westwind,N4MH,Sundance Airport FBO LLC,2.0,"Oklahoma City-Sundance Airport, OK (HSD)",w/o
724,2019-03-18,Bombardier BD-100-1A10 Challenger 300,9M-TST,Berjaya Air,1.0,Kuala Lumpur-Sultan Abdul Aziz Shah Airport (SZB),sub
725,2019-03-19,Fokker 100,EP-IDG,Iran Air,0.0,Tehran-Mehrabad Airport (THR/OIII),sub
726,2019-03-21,ATR 72-500 (72-212A),TR-ABS,Afrijet,0.0,São Tomé Island Airport (TMS/FPST),sub
727,2019-03-22,Rockwell Sabreliner 60,N990PA,private,0.0,ca 14 km E of Bajamar,w/o
728,2019-03-23,Airbus A320-232,HA-LPL,Wizz Air,0.0,Bristol Airport (BRS/EGGD),min
729,2019-03-23,Beechcraft B200 Super King Air,A2-MBM,Major Blue Air,1.0,Matsieng Aerodrome,w/o
730,2019-03-27,Boeing 737-7H4 (WL),N249WN,Southwest Airlines,0.0,"near Nashville International Airport, TN (BNA)",sub
731,2019-03-27,Antonov An-2,CU-A1825,Empresa Nacional de Servicios Aéreos-ENSA,0.0,Alonso de Rojas,sub
732,2019-04-03,Airbus A320-214,G-EZWC,easyJet,0.0,Belfast International Airport (BFS/EGAA),min
733,2019-04-04,McDonnell Douglas MD-88,N977DL,Delta Air Lines,0.0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
734,2019-04-04,de Havilland Canada DHC-8-402Q Dash 8,OE-LGM,Austrian Airlines,0.0,Innsbruck-Kranebitten Airport (INN),sub
735,2019-04-08,British Aerospace 4100 Jetstream 41,HI1038,Sky High Aviation Services,0.0,Dominica Douglas-Charles Airport (DOM),sub
736,2019-04-10,Airbus A321-231 (WL),N114NN,American Airlines,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
737,2019-04-11,Boeing 737-924ER (WL),N31412,United Airlines,0.0,"Fort Myers, FL",non
738,2019-04-13,Rockwell Sabreliner 65,N265DS,Classic Aviation,3.0,"near New Albany, MS",w/o
739,2019-04-14,Let L-410UVP-E20,9N-AMH,Summit Air,3.0,Lukla-Tenzing-Hillary Airport (LUA),w/o
740,2019-04-16,Bombardier BD-700-1A11 Global 5000,14+01,Luftwaffe,0.0,Berlin-Schönefeld Airport (SXF/EDDB),sub
741,2019-04-16,Pilatus Britten-Norman BN-2B-27 Islander,CC-CYR,Archipiélagos Servicios Aéreos,6.0,"0,4 km W of Puerto Montt-Marcel Marchant Airport (SCPF)",w/o
742,2019-04-22,Airbus A320-232 (WL),HS-TXK,Thai Smile,0.0,"Sung Noen District, Nakhon Ratchasima Province",non
743,2019-04-22,Antonov An-26,EY-322,Asia Airways,0.0,64 km from Khartoum,sub
744,2019-04-23,Cessna 208 Caravan I,N366TA,private,0.0,"Dry Tortugas National Park, FL",sub
745,2019-04-24,Beechcraft B200 Super King Air,C-FRMV,Keewatin Air,0.0,"Gillam Airport, MB (YGX)",sub
746,2019-04-24,Cessna 551 Citation II/SP,D-IADV,private,0.0,Siegen-Siegerland Airport (SGE/EDGS),sub
747,2019-04-30,Boeing 737-33A (WL),G-GDFB,Jet2,0.0,East Midlands Airport (EMA),sub
748,2019-04-30,Boeing 737-73S (WL),EI-SEV,Ryanair,0.0,East Midlands Airport (EMA/EGNX),sub
749,2019-05-02,Boeing 737-8GJ (WL),HL8021,T'way Air,0.0,115km north of Tokyo/Narita International Airport (NRT/RJAA),non
